序号	行号	原文	改后	依据
129	6728	及下廷尉诏狱，平原吏人奔走诣阙讼之。又前孝廉魏劭毁变形服，诈为家僮，瞻护于弼。弼遂受诬，事当□市。劭与郡人卖郡邸，行赂于	及下廷尉诏狱，平原吏人奔走诣阙讼之。又前孝廉魏劭毁变形服，诈为家僮，瞻护于弼。弼遂受诬，事当弃市。劭与郡人卖郡邸，行赂于	四库本卷94'事当弃市'；弃市死刑常语
132	6870	中常侍苏康、管霸等复被任用，遂排陷忠良，共相阿媚。大司农刘祐、廷尉冯绲、河南尹李膺，皆以忤旨，为之抵罪。蕃因朝会，固理膺	中常侍苏康、管霸等复被任用，遂排陷忠良，共相阿媚。大司农刘祐、廷尉冯绲、河南尹李膺，皆以忤旨，为之抵罪。蕃因朝会，固理膺	四库本卷96'太原太守刘瓆'；刘瓆与成瑨同案，瓆U+74C6
137	6870	中常侍苏康、管霸等复被任用，遂排陷忠良，共相阿媚。大司农刘祐、廷尉冯绲、河南尹李膺，皆以忤旨，为之抵罪。蕃因朝会，固理膺	中常侍苏康、管霸等复被任用，遂排陷忠良，共相阿媚。大司农刘祐、廷尉冯绲、河南尹李膺，皆以忤旨，为之抵罪。蕃因朝会，固理膺	同上，谏请瓆瑨超浮等
145	7063	融益以知名。州郡礼请，举孝廉，公府连辟，皆不应。太守冯岱有名称，到官，请融相见。融一往，荐达郡士范冉、韩伷、孔□等三人，	融益以知名。州郡礼请，举孝廉，公府连辟，皆不应。太守冯岱有名称，到官，请融相见。融一往，荐达郡士范冉、韩伷、孔伷等三人，	四库本卷98'韩伷孔伷'；孔伷荐达郡士
151	7409	豫州伷史孔□、兖州刺史刘岱、陈留太守张邈、广陵太守张超、河内太守王匡、山阳太守袁遗、东郡太守桥瑁、济北相鲍信等同时俱起，	豫州伷史孔伷、兖州刺史刘岱、陈留太守张邈、广陵太守张超、河内太守王匡、山阳太守袁遗、东郡太守桥瑁、济北相鲍信等同时俱起，	四库本卷104上'豫州刺史孔伷'；讨董卓十路诸侯孔伷
152	7459	父嵩，乞□携养，因臧买位，舆金辇宝，输货权门，窃盗鼎司，倾覆重器。	父嵩，乞匄携养，因臧买位，舆金辇宝，输货权门，窃盗鼎司，倾覆重器。	陈琳檄文'父嵩乞匄携养'名句；匄同丐U+5304
155	7587	便率步骑千余，驰往赴之。灵等闻布至，皆敛兵而止。布屯沛城外，遣人招备，并请灵等与共飨饮。布谓灵曰：“玄德，布弟也，为诸君	便率步骑千余，驰往赴之。灵等闻布至，皆敛兵而止。布屯沛城外，遣人招备，并请灵等与共飨饮。布谓灵曰：“玄德，布弟也，为诸君	四库本卷105'布性不喜合鬬但喜解鬬耳'；库本鬬喜当为但喜，记异文
156	7609	二十五年，征还。光武欲以为少府，会飒被疾，不能𠡠起，□以桂阳太守归家，须后诏书。居二岁，载病诣阙，自陈困笃，乃收印绶，赐	二十五年，征还。光武欲以为少府，会飒被疾，不能𠡠起，勑以桂阳太守归家，须后诏书。居二岁，载病诣阙，自陈困笃，乃收印绶，赐	四库本卷106'不能彊起勑以桂阳太守归家'；卫飒传
158	7831	又今外戚四姓贵幸之家，及中官公族无功德者，造起馆舍，凡有万数，楼阁连接，丹青素垩，雕刻之饰，不可单言。丧葬逾制，奢丽过礼	又今外戚四姓贵幸之家，及中官公族无功德者，造起馆舍，凡有万数，楼阁连接，丹青素垩，雕刻之饰，不可单言。丧葬逾制，奢丽过礼	四库本卷108'池有弃酒士有廐死廐马秣粟'；廐同厩
174	8825	迷吾既杀傅育，狃*(□)**[忕]*边利。章和元年，复与诸种步骑七千人入金城塞。张纡遣从事司马防将千余骑及金城兵会战于木	迷吾既杀傅育，狃*(忕)**[忕]*边利。章和元年，复与诸种步骑七千人入金城塞。张纡遣从事司马防将千余骑及金城兵会战于木	校记[忕]；四库本卷117'狃忕边利'；忕习也
175	8980	骨都侯等见，皆泣下。郴等反命，诏乃听南单于入居云中。遣使上书，献骆喰二头，文马十匹。夏，南单于所获北虏薁鞬左贤王将其众及	骨都侯等见，皆泣下。郴等反命，诏乃听南单于入居云中。遣使上书，献骆喰二头，文马十匹。夏，南单于所获北虏薁鞬左贤王将其众及	四库本卷119'将弛刑五十人'；弛刑免刑之徒
校记	2503	梁贵人姊*(□)**[嫕]*上书陈贵人枉殁之状	梁贵人姊*(嫕)**[嫕]*上书陈贵人枉殁之状	梁嫕上书追尊恭怀皇后，四库本卷10上'梁貴人姊嫕'；嫕U+5955
校记	3068	忸*(□)**[忕]*小利	忸*(忕)**[忕]*小利	冯异传'忸忕小利'；忕习也，四库本卷17同；校记直证
校记	4794	于是左*(□)**[覠]*右平	于是左*(覠)**[覠]*右平	班固两都赋'左覠右平'；覠jīn U+89A0；校记直证
知识	910	窦宪潜图弑逆。庚申，幸北宫。诏收捕宪党射声校尉郭璜，璜子侍中举，卫尉邓□，□弟步兵校尉磊，皆下狱死。	窦宪潜图弑逆。庚申，幸北宫。诏收捕宪党射声校尉郭璜，璜子侍中举，卫尉邓叠，叠弟步兵校尉磊，皆下狱死。	四库本卷4'衞尉鄧疊疊弟歩兵校尉磊'直证；窦宪党邓叠邓磊兄弟下狱死
知识	1653	永*(嘉)**[□]*元年春正月戊戌，帝崩于玉堂前殿，年三岁。清河王蒜征至京师。	永*(憙)**[憙]*元年春正月戊戌，帝崩于玉堂前殿，年三岁。清河王蒜征至京师。	冲帝年号永憙；四库本卷6'永憙元年'直证；憙U+619B非GB2312故库本讹嘉/□
11	2516	□@250	勅	四库卷10上'太后勅止日杀省珍费'
110	6338	□@68	𡹐	四库卷90上广成颂'锵锵𡹐𡹐'
111	6338	□@69	𡹐	同上
112	6354	□@21	𣚕	四库卷90上'冒𣚕柘槎棘枳'
114	6362	□@406	鷉	四库卷90上'鷿鷉乃安斯寝'；鸊鷉水鸟
134	6870	□@164	瓆	四库卷96'遂奏瓆瑨罪當棄市'
135	6870	□@166	瑨	同上
136	6870	□@169	棄	同上；罪当棄市
137	6870	□@231	瓆	四库卷96'諫請瓆瑨超浮'
138	6870	□@233	瑨	同上
142	6933	□@70	檀	四库卷97八及'張儉岑晊劉表陳翔孔昱苑康檀敷翟超'
146	7087	□@29	瑨	四库卷99'侍御史祝瑨'
147	7087	□@32	䬃	四库卷99'雜考䬃'
133	6870	□@134	瑨	四库卷96'南阳太守成瑨'
133	6870	成瓆(错位修正)	成瑨	四库卷96'南阳太守成瑨'；#133错位填瓆已复位为瑨
6	1287	□@14	棄	四库卷5'任尚有譴辠棄市'；弃市死刑
71	5661	□@32	𢤧	四库卷81'幽灵潜翳𢤧哉缅矣'；曹操祀桥玄文
74	5693	□@9	鋣	四库卷82'铘镆鋣于明智'；镆鋣即莫邪
76	5698	□@5	戹	四库卷82'人有昏厄之戹'
77	5743	□@49	戹	四库卷82'値戹运之会'；与#109遭值戹运同
79	5910	□@113	勑	四库卷79下'帝猶𠡠之勑掖庭令葬於樊濯聚'
80	6009	□@17	擅	四库卷80下'卓既擅权'；董卓擅权
81	6038	□@94	檀	四库卷81'檀不闻檀车之声'；诗檀车幝幝
83	6153	□@42	棄	四库卷83'棄官还家'臧洪传
85	6154	□@204	壇	四库卷83'设壇场将盟'；坛场盟誓
88	6161	□@5	壇	四库卷83'登壇喢血'；登坛歃血
109	6333	□@148	戹	四库卷90上'遭值戹运'；广成颂
120	6447	□@428	匄	四库卷90下'愿身当辜戮匄质不并坐'；蔡邕传匄求也
121	6448	□@300	咄	蔡邕传名物'咄！以乐召我而有杀心'；琴中杀心
130	6740	□@58	宂	四库卷97'礼记宂多回宂'；宂同冗
139	6870	□@292	勑	四库卷96'宜𠡠自整勑'；陈蕃传
140	6886	□@31	阨	四库卷96'驱驰崄阨之中'；崄阨险厄
148	7161	□@24	棄	四库卷100下'投弃以残棄'
154	7482	□@182	斾	四库卷104上'旃斾交于中原'；旃斾旌旗
157	7665	□@44	棄	四库卷106'是棄民也'；弃民弃于民也
159	7832	□@135	劒	四库卷108'剑下惧劒客'；剑客
162	8188	□@125	敘	四库卷110下'叙揆时敘庶绩咸熙'
165	8389	□@22	𧦽	四库卷112上'乃诏尚方𧦽视'；费长房传
67	5209	□@218	寖	复合勘误：四库卷94'轻侮之比寖以繁滋'；库本'轻侮之寖'之寖为比之讹当复位，□位填寖
9	2492	□@270	弃	灌夫骂座弃市；史记魏其武安侯列传
12	2519	□@4	敕	邓太后诏'明加检敕'；检敕常语
13	2949	□@119	敕	邓禹传'帝乃征禹还敕曰赤眉无谷自当来东'
14	3060	□@51	剑	冯异传'赐以乘舆七尺具剑'；七尺具剑名物
15	3060	□@53	剑	同上
17	3190	□@145	剑	耿弇传'弇按剑曰子舆弊贼'
18	3239	□@44	本	耿纪之乱'与太医令吉本丞相司直韦晃'；吉本
19	3263	□@55	开	铫期传'瞋目大呼左右曰开'；开道
20	3265	□@153	志	铫期传'卿欲遂前志邪'
21	3325	□@67	檀	檀乡贼因号为檀乡；下文檀乡渠帅董次仲互证
23	3616	□@8	昃	光武'日昃不食'；日昃常语
24	3733	□@58	憙	赵憙传'更始乃征憙憙年未二十'
25	3733	□@60	憙	同上
26	3734	□@227	憙	赵憙传'即征憙引见'
27	3734	□@278	憙	赵憙传'吏民不欲内憙憙乃告譬'
28	3734	□@281	憙	同上
40	3957	□@125	髴	于陵子仲注'言髣髴似之也'；髣髴固定词
52	4372	□@174	冗	冗从仆射官名；杜永任冗从仆射
54	4520	□@223	敕	贾逵传'帝敕兰台给笔札使作神雀颂'
56	4728	□@49	瓆	太原太守刘瓆；库本太原太瓆刘□为瓆字错位，□仍当为瓆
197	10374	□@12	煮	四库卷31'冤句有煮枣城'直证；煮枣城古地名
200	10593	□@128	示	四库卷33'蘇示大莋莋秦姑復'；汉志越巂苏示县
82	6101	□@154	棄	四库卷88'無限極棄之非計'；虞诩传
205	10798	□@51	甯	四库卷33上谷'沮陽潘復甯廣甯居庸'；甯县
206	10799	□@2	甯	同上'廣甯'
119	6443	□@237	雞	四库卷90下'蜺墮雞化'；虹蜺堕鸡化灾异
123	6504	□@359	䪥	四库卷90下'繼以䪥露之歌'；薤露挽歌，䪥同薤
